[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.132090, 0.024330, , 1.000000, 3296.850000, 12 x 14, 3391.400000, 3393.800000, 1200.000000, 0.000000, 0.050000, 0 x 721, 0.030000, 0.000000, 0.000000, 0.000990, -0.025130, -0.000150, 8.204890, 1.000000, 3393.700000, 0.739000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.153300, 0.028010, , , 0.000000, 11 x 12, 3191.500000, 3193.600000, 1400.000000, 0.000000, 0.050000, 0 x 695, 0.000000, -0.000010, 0.000000, 0.001010, -0.025490, -0.000300, 7.277540, , 3193.700000, 0.695000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.175320, 0.031800, , , 0.000000, 12 x 12, 2991.500000, 2993.600000, 1600.000000, 0.000000, 0.050000, 0 x 695, 0.000000, 0.000000, 0.000000, 0.000950, -0.024980, -0.000340, 6.481750, , 2993.700000, 0.652000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.197550, 0.035470, , 8.000000, 2765.350000, 12 x 14, 2791.400000, 2793.800000, 1800.000000, 0.000000, 0.050000, 0 x 1017, 0.070000, -0.000510, 0.000000, 0.000520, -0.024940, -0.000160, 5.776440, 1.000000, 2793.700000, 0.608000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.219360, 0.039870, , 1.000000, 2498.020000, 1 x 14, 2591.500000, 2593.800000, 2000.000000, 0.000000, 0.050000, 0 x 1118, 0.030000, -0.000050, 0.000000, 0.000830, -0.024970, -0.000440, 5.150120, 1.000000, 2593.700000, 0.565000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.241520, 0.043850, , , 0.000000, 12 x 14, 2391.400000, 2393.800000, 2200.000000, 0.000000, 0.050000, 0 x 2695, 0.050000, 0.000000, 0.000000, 0.000890, -0.024980, -0.000400, 4.578290, 2.000000, 2393.700000, 0.521000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.263080, 0.047750, , , 0.000000, 12 x 14, 2191.400000, 2193.800000, 2400.000000, 0.000000, 0.050000, 0 x 1509, 0.050000, -0.000090, 0.000000, 0.001280, -0.024680, -0.000310, 4.058930, 2.000000, 2193.700000, 0.478000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.285780, 0.051770, , , 0.000000, 12 x 14, 1991.400000, 1993.800000, 2600.000000, 0.000000, 0.050000, 0 x 1110, 0.100000, 0.000000, 0.000000, 0.001510, -0.025350, 0.000000, 3.581980, 2.000000, 1993.700000, 0.434000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.296760, 0.053750, , , 0.000000, 12 x 14, 1891.400000, 1893.800000, 2700.000000, 0.000000, 0.050000, 0 x 146, 0.050000, -0.000020, 0.000000, 0.000970, -0.024700, -0.000270, 3.352830, 2.000000, 1893.700000, 0.412000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.307910, 0.055560, , 2.000000, 1759.050000, 12 x 14, 1791.400000, 1793.800000, 2800.000000, 0.000000, 0.050000, 0 x 790, 0.050000, -0.000230, 0.000000, 0.001140, -0.025500, -0.000280, 3.135640, 1.000000, 1793.700000, 0.390000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.318100, 0.057970, , , 0.000000, 12 x 14, 1691.400000, 1693.800000, 2900.000000, 0.000000, 0.050000, 0 x 1110, 0.050000, -0.000100, 0.000000, 0.001240, -0.025190, -0.000130, 2.923630, 162.000000, 1693.700000, 0.369000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.329780, 0.060130, , 2.000000, 1577.060000, 12 x 14, 1591.400000, 1593.800000, 3000.000000, 0.000000, 0.050000, 0 x 1367, 0.050000, -0.000590, 0.000000, 0.001420, -0.024900, 0.000000, 2.717490, 10.000000, 1593.700000, 0.347000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.340590, 0.061600, , , 0.000000, 12 x 14, 1491.400000, 1493.800000, 3100.000000, 0.000000, 0.050000, 0 x 1027, 0.050000, 0.000000, 0.000000, 0.001800, -0.025890, -0.000020, 2.521420, 18.000000, 1493.700000, 0.325000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.345490, 0.062450, , , 0.000000, 12 x 14, 1441.400000, 1443.800000, 3150.000000, 0.000000, 0.050000, 0 x 881, 0.480000, -0.000130, 0.000000, 0.001510, -0.025400, 0.000000, 2.421650, 59.000000, 1443.700000, 0.314000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.350870, 0.063670, , , 0.000000, 1 x 14, 1391.500000, 1393.800000, 3200.000000, 0.000000, 0.050000, 0 x 2616, 0.050000, -0.000150, 0.000000, 0.001640, -0.024380, 0.000000, 2.325140, 3.000000, 1393.700000, 0.303000
1701464400, 2023-12-01 16:00, 2023-12-01, 16.000000, 4593.680000, 2023-12-01, 1701464400, 0.000000, 1.000000, 0.000000, 0.000000, -0.356420, 0.064900, , , 0.000000, 12 x 14, 1341.400000, 1343.800000, 3250.000000, 0.000000, 0.050000, 0 x 1188, 0.050000, -0.000050, 0.000000, 0.001930, -0.025150, 0.000000, 2.231840, 1.000000, 1343.700000, 0.293000
