,backtest: 2010-2026
Портфельные метрики,------------------------
sharpe,0.7574465553055081
sortino,0.8904491801569288
calmar,0.4597309083578446
alpha,0.0207000745076118
beta,0.7792295093223792
Годовая волатильность,0.15161194478867254
Годовая волатильность benchmark,0.17205472860666746
Максимальная просадка,-0.2600121176413684
Максимальная просадка benchmark,-0.34104746893243904
Среднегодовая дох-ть,0.11915278848258172
Медианная годовая дох-ть,0.12146125960745113
CAGR,0.11953560702731303
Среднегодовая дох-ть benchmark,0.12563266727437755
Медианная годовая дох-ть benchmark,0.13474106503673555
CAGR benchmark,0.12279747881154868
Накопленная дох-ть,5.312104292351289
Накопленная дох-ть benchmark,5.618987607300911
Время в рынке,0.8740272373540856
Статистика сделок,------------------------
Кол-во сделок,103
Доля отрицательных сделок (ошибка 1 рода),0.3300970873786408
"Доля выходов в кэш, когда benchmark рос (ошибка 2 рода)",0.5533980582524272
Средняя дох-ть сделки,0.01961919391184137
Медианная дох-ть сделки,0.017342686225787718
"Средняя дох-ть benchmark, когда стратегия в кэше",0.0028964469417865086
"Медианная дох-ть benchmark, когда стратегия в кэше",0.0037702217605197763
Среднее время удержания,51.0
Медианное время удержания,29.0
Статистика положительных сделок,------------------------
"Средняя дох-ть ""+"" сделки",0.048646768795118464
"Медианная дох-ть ""+"" сделки",0.036818516341258434
"Среднее время удержания ""+"" сделки",61.0
"Медианное время удержания ""+"" сделки",36.0
Статистика отрицательных сделок,------------------------
"Средняя дох-ть ""-"" сделки",-0.039289708057162157
"Медианная дох-ть ""-"" сделки",-0.034468447679287584
"Среднее время удержания ""-"" сделки",28.0
"Медианное время удержания ""-"" сделки",26.0
